Mean Score: 111.28, Standard Deviation: 24.633749207134503, Minimum: 73, Maximum: 195, Games: 100
Mean Score: 110.96, Standard Deviation: 27.55899853042559, Minimum: 63, Maximum: 201, Games: 100
Mean Score: 110.55, Standard Deviation: 25.60288069729654, Minimum: 58, Maximum: 210, Games: 100
Mean Score: 110.37, Standard Deviation: 27.322757913505, Minimum: 71, Maximum: 192, Games: 100
Mean Score: 114.78, Standard Deviation: 25.86177874779691, Minimum: 58, Maximum: 187, Games: 100
Mean Score: 109.55, Standard Deviation: 23.570055154793337, Minimum: 59, Maximum: 176, Games: 100
Mean Score: 110.82, Standard Deviation: 26.556498263137026, Minimum: 63, Maximum: 212, Games: 100
Mean Score: 113.43, Standard Deviation: 25.082764999098487, Minimum: 59, Maximum: 189, Games: 100
Mean Score: 107.5, Standard Deviation: 27.84295242965444, Minimum: 51, Maximum: 206, Games: 100
Mean Score: 116.51, Standard Deviation: 25.726443594092057, Minimum: 65, Maximum: 194, Games: 100
Mean Score: 109.38, Standard Deviation: 25.48912709372371, Minimum: 61, Maximum: 212, Games: 100
Mean Score: 115.18, Standard Deviation: 30.008792044999073, Minimum: 55, Maximum: 237, Games: 100
Mean Score: 111.72, Standard Deviation: 27.158453564221954, Minimum: 55, Maximum: 197, Games: 100
Mean Score: 110.37, Standard Deviation: 23.818335374244782, Minimum: 59, Maximum: 186, Games: 100
Mean Score: 111.78, Standard Deviation: 30.53377801714029, Minimum: 50, Maximum: 234, Games: 100
Mean Score: 116.47, Standard Deviation: 26.181464817691158, Minimum: 68, Maximum: 184, Games: 100
Mean Score: 113.21, Standard Deviation: 28.360639978674673, Minimum: 59, Maximum: 207, Games: 100
Mean Score: 115.96, Standard Deviation: 24.75153328583908, Minimum: 61, Maximum: 190, Games: 100
Mean Score: 111.26, Standard Deviation: 27.952681445614484, Minimum: 56, Maximum: 201, Games: 100
Mean Score: 116.57, Standard Deviation: 25.914573120157687, Minimum: 57, Maximum: 197, Games: 100
Mean Score: 115.22, Standard Deviation: 29.25357414060716, Minimum: 61, Maximum: 218, Games: 100
